,pubkey,alias,color_hex,open_channels,capacity,min_channel_size,address_1,address_2,hubness_rank,weighted_hubness_rank,hopness_rank,weighted_hopness_rank,betweenness_rank,weighted_betweenness_rank,website,twitter,nostr,youtube,facebook,linkedin,telegram,instagram,discord,medium,tiktok,github,bio,avatar,social_image,name,lnp_verified_user,lnp_updated_at,lnp_rank,lnp_rank_name,prime,pro,lnp_positive_ratings_received,lnp_negative_ratings_received,lnp_positive_ratings_given,lnp_negative_ratings_given,lnp_badges
10,020045e9b463e642225bc147b77b8ee5d7cc356a42cd18cc67fe37b75c4611ad14,Test0,#ff5000,1,1000000,,dpbrcbqqgf7dcblrzpu2ikiqtq4hhbmzxf7mqn6fr2oj6m2cnwvzbvyd.onion:9735,,10227,10227,10227,10227,10227,10227,,,,,,,,,,,,,,,,,False,2025-02-12T16:24:57.285Z,0,,False,False,,,,,[]
11,0200469788c5528058032ba487da129247fe8f15a017457e2b233305378fef62a4,0200469788c552805803,#3399ff,1,500000,,46ess7k4e5k6vgrzeiwxmddpg2fe44megxve2rcidupzttnygw3gg6yd.onion:9735,,6321,6253,6356,5910,580,837,,,,,,,,,,,,,,,,,False,2025-03-01T14:10:13.606Z,1,Aluminium,False,False,,,,,[]
12,02004d8933df4f002fa95d8c37ca43eb9c175d310aad55cc6d442e4accc3740029,IBEX_SB,#044900,4,22985000,,44.219.139.8:9735,,4047,2328,4564,5860,5153,3718,,,,,,,,,,,,,,,,,False,2025-03-01T08:00:41.840Z,4,Mercury,False,False,,,,,[]
13,020055cfd1c07c63530ff4471eabd2b286efd9a493137215bab684590c62d27ba4,MIGODI ONE,#020055,1,1850700,,167.235.67.100:9735,ti5ncxashugjngt547hcilqlojhp7d5q6ojta3lyx6ebdpgfvy3avkad.onion:9735,10083,10083,10083,10083,10083,10083,,,,,,,,,,,,,,,,,False,2025-03-01T16:15:47.433Z,5,Titanium,False,False,,,,,[]
14,020060ce06e5130c55900c4c4b0d6bc34e72f94d948854b6e0670f154472d014ec,Pharlap,#d9ff33,19,27318349,0.0,w3tbjiazpv2hjmjq2znbwkjjgsdd76qh4en6qrcykbqeertkdozfdxad.onion:9735,,3171,3399,3103,5726,643,366,,,,,,,,,,,,,,https://d48ttl5m5edbw.cloudfront.net/py4r0wsdqex53pwj09ubedrs3haq,https://d48ttl5m5edbw.cloudfront.net/zkcdy35ix57c4w39rteofeigyhkh,PharLap,True,2025-03-01T19:05:40.830Z,6,Tungsten,True,False,46.0,2.0,37.0,0.0,"[{'name': 'Honourable', 'description': 'Received 25+ good ratings and 90%+ Happy'}, {'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Impactful', 'description': 'Opened 25+ Channels'}, {'name': 'Superstar', 'description': 'Opened 50+ Channels'}, {'name': 'Liquid', 'description': 'Has Liquidity Credits'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Verified', 'description': 'Node signed'}, {'name': 'OG', 'description': 'Early registrant'}]"
15,0200612b22200afba97ae16fc9d74e6ffd9def125276ec0650305834f09215ba42,zappa|CLN,#ffa500,4,10812100,,kfwjvjtv5pixjp73vw5zdjlkk7j7sqrriizcphvgziaiw6behvffkoad.onion:9736,,10683,10683,10683,10683,10683,10683,,,,,,,,,,,,,,,,,False,2024-12-23T16:17:51.130Z,0,,False,False,,,,,[]
16,020068e14ef2b3471f87d124e334843dc3af2c1a1ebf37489e7065ef14b111f625,FullDeck,#020068,1,2095290,,con7pqexync24nlsyr22rl7zqwuskpuptokkjilearrkowkx2f3rxjid.onion:9736,,10721,10721,10721,10721,10721,10721,,,,,,,,,,,,,,,,,False,2024-12-28T16:46:41.872Z,0,,False,False,,,,,[]
17,02009947c197575f5a948e1e4343c41dc2e6122a9bd644629afb919f30e1115ff8,LOUDMAESTRO,#020099,2,1239938,,,,5611,5007,5552,4973,5195,1441,,,,,,,,,,,,,,,,,False,2025-03-01T14:28:50.349Z,2,Iron,False,False,,,,,[]
18,0200b354798e517bcbc7f78b0ccd3ab2e7b49be15bee6d9e7a9f19331cabc3db14,raspicoin,#68f442,1,64145,,88.0.137.174:9735,,8209,8209,8209,8209,8209,8209,,,,,,,,,,,,,,,,,False,2025-03-01T14:20:14.569Z,2,Iron,False,False,,,,,[]
19,0200da31ae309a42f955de9383c150a4167246bb22d5380898cd70aecc59136c50,Kortik nodl [LND],#0000ff,2,13000000,,2cl6pbc7dzopfnjmpzdmw3pnh36tqsam7zzp7ypp3v5fujwjllcfjoad.onion:9735,,5089,4313,5460,5542,5536,2967,,,,,,,,,,,,,,,,,False,2025-02-08T14:49:48.191Z,3,Copper,False,False,,,,,[]
20,0200e33d06cf5d6ec9a0e5718d714646a2d50ea68fc24e6ad3211610252b7ac3c7,BalkumB,#68f442,1,1000000,,bvzcl4vov3ioq34h5comvct4mnj67kmb7at7yi6rbzosa63olbuyajad.onion:9735,,9715,9715,9715,9715,9715,9715,,,,,,,,,,,,,,,,,False,2025-03-02T01:12:41.463Z,2,Iron,False,False,,,,,[]
21,0200e5a6afd0cca4383b67a7ed18fc0af24b80f475295d683ee58d7fb00e8d9b13,0200e5a6afd0cca4383b,#3399ff,5,40419000,0.0,o6ujo7yhbsv7zpoinojwahk4y7k4vo4lyhmxgqvykaecovae55i7mnyd.onion:9735,,2182,1474,3390,6240,3717,4756,,,,,,,,,,,,,,,,0200e5a6afd0cca4383b,True,2025-03-01T22:55:10.067Z,6,Tungsten,False,False,5.0,0.0,5.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Generous', 'description': 'Donated to LN+'}, {'name': 'Verified', 'description': 'Node signed'}]"
22,0200ea161d8c15afaf24fe25df4ac6b06c5a86dbf5d912747292765f5fcd620f44,piblitz,#68f442,1,43269,,43ylbhegult64a75lbld2hakwsin5grdelnlvfbf3fpmqn5uklz2irqd.onion:9735,,8333,8333,8333,8333,8333,8333,,,,,,,,,,,,,,,,,False,2025-03-01T14:55:07.844Z,2,Iron,False,False,,,,,[]
23,0200fa8917e40787d5fb5ad57b6ad30b5e227fe5557c43b374c06ac0177f6264d1,sectoken,#ff5000,1,500000,,ezu2j3thlwe2v4gw5osviq233h6draiockiszsqdibbits3igzlfqvyd.onion:9735,,11816,11816,11816,11816,11816,11816,,,,,,,,,,,,,,,,,False,2024-09-19T03:44:08.279Z,0,,False,False,,,,,[]
24,020111074bd304e17a1cc74e1f4b76d64b1764895ae3a26ad3ab2c4fd0f63cdc35,California_Hodl,#68f442,22,48470067,0.0,lpdginb2jg45j7vvhlheeecrkxcnmyqcnbbu4blicc7xeythq23x3fqd.onion:9735,,846,553,667,5310,147,1203,,https://x.com/california_hodl,,,,,,,,,,,,https://d48ttl5m5edbw.cloudfront.net/36msj71ebyvenskei48llj2gv9wg,https://d48ttl5m5edbw.cloudfront.net/bv49u436r6lvrn08pq5l66zijysi,California_Hodl,True,2025-03-02T02:15:28.332Z,7,Silver,True,False,32.0,0.0,33.0,1.0,"[{'name': 'Honourable', 'description': 'Received 25+ good ratings and 90%+ Happy'}, {'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Impactful', 'description': 'Opened 25+ Channels'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Verified', 'description': 'Node signed'}, {'name': 'Silver', 'description': 'Node Rank 7'}]"
25,020129a90672158cd9c59acc6f1c9ae1e460c92f28b33e2339882c1b388b45da9c,STRANGEPHOTO,#020129,2,1800000,,,,2663,2543,1154,5603,2231,3082,,,,,,,,,,,,,,,,,False,2025-03-01T14:56:42.149Z,6,Tungsten,False,False,,,,,[]
26,020153f202e79ac0cc9a6cb806437845e2ebe0a219a242d2ce3394d5488a4b1442,Meine_Node_01,#b8b8b8,2,1500000,,ovd3gybq2wucjdmckjud4cil6uczpjzn6ke4mmn3rppbnxm7h747azid.onion:9735,,5964,5757,5916,5955,5139,3954,,,,,,,,,,,,,,,,,False,2025-03-01T14:02:27.201Z,2,Iron,False,False,,,,,[]
27,020154791bfcc0000e7c2fdb481b7c122a9aced5f8a3faa53002886ca5395b3098,Musqet,#ff5000,7,24000000,,7n3qthafl3ghkfgt6w2ugiylmm3pdjuirexjuknofsumf2dpfhppdvad.onion:9735,,1033,1301,821,5953,1051,747,,,,,,,,,,,,,,,,,False,2025-03-02T07:56:09.008Z,7,Silver,False,False,,,,,[]
28,02016724f45bb5fb6f233b3bf3938baea3aae8c12ddeea64f8c24902a8a4f57fe4,LightningGrid,#3399ff,2,1100000,0.0,bqsejpxxpux5wbzhhft2tekr6aotdmit2xntnqh4a4x6zzcgjxxkmlid.onion:9735,,6254,6083,6323,5908,5013,3843,,,,,,,,,,,,,,,,02016724f45bb5fb6f23,True,2025-03-01T14:50:59.949Z,2,Iron,False,False,2.0,0.0,0.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Verified', 'description': 'Node signed'}]"
29,02016a19c7443418d00b1603c3ddefd5c932c8a296859e7e78aff10ed297c87213,pivo-klub.cz,#3399ff,5,16198500,,54.229.250.172:9735,z4akrqtaactzaw22xb2d5kpisduzkcfmplyqj5wuqhfrzaveybg3bhad.onion:9735,5248,4567,5737,5167,4762,2012,,,,,,,,,,,,,,,,,False,2025-03-02T05:14:46.123Z,3,Copper,False,False,,,,,[]
30,020171147d8cf142d9c4c436526ab0d776121e96144f715d3ddb35538e07b8b0b6,020171147d8cf142d9c4,#3399ff,1,500000,0.0,7zekpoxn5hpvieptw2uzjj4q5wj6b3tbqzmadopynrgxgcwavh5hbvyd.onion:9735,,10246,10246,10246,10246,10246,10246,,,,,,,,,,,,,,,,020171147d8cf142d9c4,True,2025-03-01T16:29:14.195Z,6,Tungsten,False,False,1.0,0.0,0.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Verified', 'description': 'Node signed'}, {'name': 'API User', 'description': 'Have used the LN+ API'}]"
31,02017f01f646318be8707ebf07b1f38bd89577f1654102057b824f91c70f75f9b8,Güiria,#3399ff,1,1000000,0.0,btu3axmwsbghj75nz266m2upnmw57gwaatopwpwplmb4hxexh6s5uiid.onion:9735,,6358,6283,6359,5593,5568,3058,,,,,,,,,,,,,,,,,True,2025-03-01T14:25:00.540Z,2,Iron,False,False,0.0,0.0,0.0,0.0,"[{'name': 'Verified', 'description': 'Node signed'}]"
32,02017f8383d8793d8e5caf6489acabf2f7c4891ac4da0d9c96f161cb3dbb4c364b,eLcore,#c91421,3,6408027,,5v5q557c2opwx3smavpentdnojgro2a3cj6azwfhhn2rsx7kpwdqcsad.onion:9735,,3436,2941,4389,6812,4684,5132,,,,,,,,,,,,,,,,,False,2024-10-28T15:28:24.750Z,0,,False,False,,,,,[]
33,020181c396116c982caf1465416e1af6008c6caa43883841a606e6ac09df94a3db,btclearn,#ff0000,3,3200000,0.0,[2602:ffb6:4:2775:f816:3eff:fe20:75d]:9735,170.75.161.236:9735,2578,2525,2355,5808,4554,3560,,,,,,,,,,,,,,,,jpgnode,True,2025-03-02T04:35:11.221Z,6,Tungsten,False,False,0.0,0.0,0.0,0.0,"[{'name': 'Verified', 'description': 'Node signed'}]"
34,020181f8e09b92f94e1d27b75aa21dadd6a0460fbb602e432b9ad016fc25857216,55f6a2638081,#3399ff,1,90000,,3.238.188.109:9735,,9304,9304,9304,9304,9304,9304,,,,,,,,,,,,,,,,,False,2024-10-23T09:06:06.338Z,1,Aluminium,False,False,,,,,[]
35,0201826ca5e3c250b597f55292bb1ff0abd4e4066f64378980f4baf38d9fdfcbc1,OK_BR,#4aff33,1,2000000,,yr36xctqbe4brygl22dsxgydkahclg6hdrkmlolvjtod7r4ncbeziaid.onion:9735,,10843,10843,10843,10843,10843,10843,,,,,,,,,,,,,,,,,False,2024-12-28T17:46:34.366Z,0,,False,False,,,,,[]
36,02019a1906b13fd23d8e19ccb7840266c4a7ccddcfe050d9a2b331cce067b9ef66,EinsofDinah,#800080,1,1100000,,ztgf3yleivvbgooyp752cqm3dpvfveh3z6ekzltqlldcosp3mkmyymid.onion:9735,,11042,11042,11042,11042,11042,11042,,,,,,,,,,,,,,,,,False,2024-12-16T15:20:29.614Z,2,Iron,False,False,,,,,[]
37,02019e807002c987f5890819173cc959e834914f020b1aa2cee797dad4e2835abe,4e44f88764-sphinx,#7986cb,1,70000,,,,10741,10741,10741,10741,10741,10741,,,,,,,,,,,,,,,,,False,2024-10-22T14:59:33.605Z,1,Aluminium,False,False,,,,,[]
38,0201af659a3986832bb5bf2493c537cee9f7d62a7bff5d0a68176c1d60df931cf7,SatoshiIsProudOfUs,#bbae68,10,186132848,0.0,u4wqffhljgewcxgwunexmvfidaurgeg3yaaovptu5snuyuqugk2b3iad.onion:9735,,452,379,503,5584,3166,3041,,,,,,,,,,,,,,,,SatoshiIsProudOfUs,True,2025-03-02T03:27:20.719Z,8,Gold,True,False,19.0,1.0,21.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Verified', 'description': 'Node signed'}, {'name': 'Gold', 'description': 'Node Rank 8'}]"
39,0201be5b63e839fc57c66c7ab21dcea3aa79001de132f29ade96a0c2d6680c8eaf,ickycage,#68f442,3,793511,,127.0.0.1:9735,,2865,3135,2158,5019,1904,1558,,,,,,,,,,,,,,,,,False,2025-03-01T14:39:29.127Z,6,Tungsten,False,False,,,,,[]
40,0201bfc5d9c14d50ebaf4dfd83d70df314ed2a9f0119f28619f3f000a1079ef580,splurfyn0de,#a32020,28,163002974,3000000.0,212.227.215.101:9735,mw5jyr63v7mwxledf7qghyq4rd3a6ypex5xsqyzz4kne6ugeqgb6y2yd.onion:9735,876,1207,1303,4816,1474,1147,,,npub1v5aa9w22jzj6q7z3dc62lke02enc40aakmsvn9vaa9hlatj5m6hsg483md,,,,,,,,,,,,,splurfyn0de,True,2025-03-01T17:15:55.959Z,7,Silver,True,False,24.0,0.0,27.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Liquid', 'description': 'Has Liquidity Credits'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Inquisitive', 'description': 'Asked a question'}, {'name': 'Verified', 'description': 'Node signed'}, {'name': 'API User', 'description': 'Have used the LN+ API'}, {'name': 'Silver', 'description': 'Node Rank 7'}]"
41,0201c0d730b56ab512e5d1a81d81aa31d82cc27c565d9d7af9703f4f457c1ebd8c,PiBlitz,#68f442,2,8034632,,ic6fafbivo7tyiv4ons7phb7sp3vyijlklmuw3frsbxy4naloys7nlqd.onion:9735,,2301,989,3982,5071,5269,1745,,,,,,,,,,,,,,,,,False,2025-03-01T13:23:27.114Z,6,Tungsten,False,False,,,,,[]
42,0201d532c0579e2e473b8390e7d6bd516d9004e73d3d45eb1c610cc5662a999d46,78b4f8b10f-sphinx,#7986cb,1,70000,,,,9110,9110,9110,9110,9110,9110,,,,,,,,,,,,,,,,,False,2024-10-22T14:06:10.109Z,1,Aluminium,False,False,,,,,[]
43,0201dd8a0e2b0bba7b39314b1cb515b789b56861fce45b0a278bdccf43415294e7,helpful node,#68f442,1,45000,0.0,qxkbfdyp76e4uvzyabl4oozvuqjr47mgyygwez2o7haeovenggftywid.onion:9735,,7006,5445,7065,6630,6474,4092,,,,,,,,,,,,,,,,helpful node,True,2024-11-22T14:55:28.267Z,1,Aluminium,True,False,15.0,0.0,15.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Generous', 'description': 'Donated to LN+'}, {'name': 'Verified', 'description': 'Node signed'}]"
44,0201e065021c296e8bc235ad3e45647dc8419c16b8e372edb1edfa465078d167cb,ThyrusNode03,#68f442,0,0,,hqqeznqinvdrskgzwal3xopz2qf6ezxsfnjfy4u7ccowjsjtfhhjzhqd.onion:9735,,10179,10179,10179,10179,10179,10179,,,,,,,,,,,,,,,,,False,2025-03-02T11:14:40.384Z,0,,False,False,,,,,[]
45,0201f975f7f6e073edec9f35d061ad56386fce72089f24a7dfde0e97dc89239f6e,CUBATV,#3399ff,3,195694,,174.107.136.105:9735,,5757,6092,5240,5204,4833,2115,,,,,,,,,,,,,,,,,False,2025-03-01T14:07:36.148Z,1,Aluminium,False,False,,,,,[]
46,0201fe24e6efcf3557a0ccecc47f8856a5dca30ad68ae91ff55880dae3b6a9bb18,0201fe24e6efcf3557a0,#3399ff,1,226000,,blyn74libcqsmmyxxp4mmlacf43hedku5xz3ro6oxrpvl76rb6vvzkyd.onion:9735,,12310,12310,12310,12310,12310,12310,,,,,,,,,,,,,,,,,False,2024-07-09T02:05:37.117Z,0,,False,False,,,,,[]
47,0202486d87b5c02e24e3b63bc7ce35395e2b6b3f958817e3912fb658ec136c1f33,0202486d87b5c02e24e3,#3399ff,3,2100000,0.0,z6dbozzd3e3xoyrw7tdtxcxq6h6kkpb2nv7gnxxtsnbdae74ll4qqaad.onion:9735,,5367,5288,5285,5376,4361,2571,,,,,,,,,,,,,,,,0202486d87b5c02e24e3,True,2025-03-01T14:37:17.069Z,2,Iron,False,False,6.0,0.0,4.0,1.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Generous', 'description': 'Donated to LN+'}, {'name': 'Verified', 'description': 'Node signed'}]"
48,02024c29ae072912c82477cc5934e0fd6aed350b802ce8e04a1583733330e598a3,bit-lobby,#ff5000,1,500000,,ifhcmxxf7pjgvb7axvytfabwxm5u7k7yvkvfxs5axkfftvuqdj6a3hyd.onion:9735,,12095,12095,12095,12095,12095,12095,,,,,,,,,,,,,,,,,False,2024-08-31T04:58:55.965Z,0,,False,False,,,,,[]
49,02025fda526d502061238b4b7359ea538d8f0ecd1248c8b5587d4e6ac9bac9aae3,02025fda526d50206123,#3399ff,0,0,,bnki7nzt7s6dyaf3gsvadrisn5oqicflbqhxgnbrf7u42flfav6a3oqd.onion:9735,,2912,1854,2495,6055,5810,4214,,,,,,,,,,,,,,,,,False,2025-03-01T16:45:17.554Z,0,,False,False,,,,,[]
50,020284ccf92bfded620df993909e1ef55282725adcde48dc20bb3754b004427037,Copinmalin,#ffad33,6,11500000,500000.0,rpkxrat5fhcee455zssuajv5zjer5ffmhpwu3u4xt6frzsnkl3yi4eid.onion:9735,,1121,1578,1381,5745,2268,3406,,https://x.com/copinmalin,npub16zlc26xk7qjlfa4dquqvvs3s5zl2yw989lprj63nfw4g7ndnuahslcevpc,,,,,,,,,,,,,Copinmalin,True,2025-03-02T03:07:20.978Z,7,Silver,False,False,1.0,0.0,3.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Liquid', 'description': 'Has Liquidity Credits'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Verified', 'description': 'Node signed'}, {'name': 'API User', 'description': 'Have used the LN+ API'}, {'name': 'Silver', 'description': 'Node Rank 7'}]"
51,02029a5ea890afa1aa8a201ae66fabaaaa50bc5735bbc88239d9f05d241a328c99,jnode,#3399ff,3,289346,,71.231.69.27:9735,,3872,5053,6238,5038,5240,1616,,,,,,,,,,,,,,,,,False,2025-03-01T14:26:39.884Z,1,Aluminium,False,False,,,,,[]
52,0202ae5676becb575963965aaeff143132c694a7ebd1e9e217ccc7e08812d55a71,thunderroll,#0202ae,1,849624,,n44kndoemr5k5hqa7gasyfp3wro5f56axo6dg4y7i5ryxv3oj2jjd4yd.onion:9736,,4187,3714,4152,5605,3602,3084,,,,,,,,,,,,,,,,,False,2025-03-01T14:16:13.085Z,2,Iron,False,False,,,,,[]
53,0202b5d54467d075893d46b6205067bbab2bcbc632513cd15661ad803d2dcb4ce3,EcoNode,#3399ff,3,5000000,0.0,3eq3lguvadr6nw2pncf7l2ivta5aici7n5o34htlu4ooucbhqktkbzad.onion:9735,,3296,2926,3767,6307,3512,4955,,,,,,,,,,,,,,https://d48ttl5m5edbw.cloudfront.net/7w6a7z81x0mpa6tvppn5pm5z5045,https://d48ttl5m5edbw.cloudfront.net/utqx7xw6bz5v7fm8sm0qm0eri5kj,Fazer,True,2025-03-02T07:08:00.508Z,5,Titanium,True,False,15.0,0.0,13.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Verified', 'description': 'Node signed'}]"
54,0202d0815ab6cc7eba68fdc3f30ac39598e18a86b463bca2a97079db956527d6b3,SteveLND,#68f442,1,490000,,wke62qyuo7p4dnxdnie7ftutfkula4nk43i4uroe3r4knt4zanq2wmyd.onion:9735,,10110,10110,10110,10110,10110,10110,,,,,,,,,,,,,,,,,False,2025-03-02T02:09:58.491Z,2,Iron,False,False,,,,,[]
55,0202d9f3575d6b788235dc617262ee3bb2d4c3c740adae6e98016bc1396e1a279f,Bitcoin Benji,#53c708,5,45491149,0.0,swtlszomw7pgjpfrd5xvso26jmspqfypjxf75uleicsbfczbzfvbgdid.onion:9735,,3134,1620,2755,5888,1555,742,https://,https://x.com/@ocbenji,,,,,,,,,,,,https://d48ttl5m5edbw.cloudfront.net/45wv1xzgmf99nt7fbdoxu03f677o,https://d48ttl5m5edbw.cloudfront.net/g8nbbx8m2a6l7z548vnk7s2kgw59,Bitcoin Benji,True,2025-03-01T16:12:04.652Z,6,Tungsten,False,False,2.0,1.0,3.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Generous', 'description': 'Donated to LN+'}, {'name': 'Verified', 'description': 'Node signed'}]"
